Cap Fiscal Year,Cap Type,Employer (Petitioner) Name,Industry 1,Industry 2,Occupation 1,Occupation 2,Petitioner City,Petitioner State,Petitioner ZIP Code,Tax ID,Initial Approval (Workers),Continuing Approval (Workers),Total Approval,Initial Denial (Workers),Continuing Denial (Workers),Total Denial,Worksite State,Consular Processed,Hourly Wage
2020,Exempt,A & S LANDSCAPING INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Canonsburg,Pennsylvania,15317,61,0,5,5,0,0,0,Pennsylvania,No,$12.00 - $13.99
2020,Exempt,A & S LANDSCAPING INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Canonsburg,Pennsylvania,15317,61,4,0,4,0,0,0,Pennsylvania,Yes,$12.00 - $13.99
2020,2nd Half,A & S TREE SERVICE,23,Construction,37,Building and Grounds Cleaning and Maintenance Occupations,Texarkana,Arkansas,71854,2757,12,0,12,0,0,0,Arkansas,Yes,$10.00 - $11.99
2020,2nd Half,A 1 CHIPSEAL CO,23,Construction,47,Construction and Extraction Occupations,Denver,Colorado,80229,6817,10,0,10,0,0,0,Colorado,Yes,$20.00 and more
2020,1st Half,A FERRIS ALLEN III,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Clarksville,Maryland,21029,5493,5,0,5,0,0,0,Maryland,Yes,$14.00 - $15.99
2020,1st Half,A G ROOFING COMPANY INC,23,Construction,47,Construction and Extraction Occupations,Eagle,Colorado,81631,3033,0,0,0,30,0,30,Colorado,Yes,$20.00 and more
2020,2nd Half,A GREENER SEASON LANDSCAPING LLC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Twin Falls,Idaho,83301,1425,5,0,5,0,0,0,Idaho,Yes,$12.00 - $13.99
2020,2nd Half,A H CORNELL & SON INC,23,Construction,47,Construction and Extraction Occupations,Lovingston,Virginia,22949,7104,7,0,7,0,0,0,Pennsylvania,Yes,$20.00 and more
2020,2nd Half,A J CONSTRUCTION INC,23,Construction,47,Construction and Extraction Occupations,Horace,North Dakota,58047,8314,12,0,12,0,0,0,North Dakota,Yes,$18.00 - $19.99
2020,2nd Half,A MARINUCCI CONTRACTING,23,Construction,53,Transportation and Material Moving Occupations,Westbury,New York,11590,8175,3,0,3,0,0,0,New York,Yes,$14.00 - $15.99
2020,2nd Half,A NEW IMAGE LANDSCAPE INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Valley City,Ohio,44280,1839,8,0,8,0,0,0,Ohio,Yes,$14.00 - $15.99
2020,Exempt,A OF R SERVICES INC,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Pittsburgh,Pennsylvania,15220,1930,0,14,14,0,0,0,Pennsylvania,No,$9.99 and under
2020,Exempt,A OF R SERVICES INC,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Pittsburgh,Pennsylvania,15220,1930,0,20,20,0,0,0,Pennsylvania,Yes,$9.99 and under
2020,2nd Half,A TOUCH OF CONSTRUCTION LLC,23,Construction,47,Construction and Extraction Occupations,Corsicana,Texas,75109,1464,15,0,15,0,0,0,Texas,Yes,$16.00 - $17.99
2020,2nd Half,A&A LANDSCAPE & MAINTENANCE OF ND,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Williston,North Dakota,58801,7350,25,0,25,0,0,0,North Dakota,Yes,$16.00 - $17.99
2020,Exempt,A&A LANDSCAPE & MAINTENANCE OF TX,54,Professional and Technical Services,37,Building and Grounds Cleaning and Maintenance Occupations,Odessa,Texas,79760,2255,0,3,3,0,0,0,Texas,No,$14.00 - $15.99
2020,2nd Half,A&A TILE & COPING INC,23,Construction,47,Construction and Extraction Occupations,Ottsville,Pennsylvania,18942,8430,12,0,12,0,0,0,Pennsylvania,Yes,$20.00 and more
2020,2nd Half,A&B TENT RENTAL INC,53,Real Estate and Rental and Leasing,53,Transportation and Material Moving Occupations,Akron,Ohio,44306,4601,7,0,7,0,0,0,Ohio,Yes,$14.00 - $15.99
2020,2nd Half,AAAH PLASTERING & STUCCO INC,23,Construction,47,Construction and Extraction Occupations,Northport,Alabama,35475,4686,15,0,15,0,0,0,Alabama,Yes,$16.00 - $17.99
2020,2nd Half,AARK ENTERPRISES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Vernon,Florida,32462,974,8,0,8,0,0,0,Florida,Yes,$12.00 - $13.99
2020,Exempt,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,0,1,1,0,0,0,Texas,No,$20.00 and more
2020,2nd Half,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,9,0,9,0,0,0,Tennessee,Yes,$12.00 - $13.99
2020,Exempt,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,0,11,11,0,0,0,Florida,No,$14.00 - $15.99
2020,1st Half,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,49,"Installation, Maintenance, and Repair Occupations",Lovingston,Virginia,22949,6297,6,0,6,0,0,0,Texas,Yes,$16.00 - $17.99
2020,Exempt,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Webster,Texas,77598,6297,0,23,23,0,0,0,Florida,No,$14.00 - $15.99
2020,Exempt,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,0,4,4,0,0,0,Virginia,No,$14.00 - $15.99
2020,2nd Half,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,19,0,19,0,0,0,Texas,Yes,$10.00 - $11.99
2020,Exempt,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,0,36,36,0,0,0,Louisiana,No,$12.00 - $13.99
2020,2nd Half,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,44,0,44,0,0,0,Louisiana,Yes,$12.00 - $13.99
2020,Exempt,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Webster,Texas,77598,6297,0,3,3,0,0,0,Louisiana,No,$12.00 - $13.99
2020,2nd Half,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,125,0,125,0,0,0,Texas,Yes,$14.00 - $15.99
2020,Exempt,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,0,10,10,0,0,0,Mississippi,No,$10.00 - $11.99
2020,2nd Half,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,38,0,38,0,0,0,Louisiana,Yes,$18.00 - $19.99
2020,Exempt,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Webster,Texas,77598,6297,0,20,20,0,0,0,Mississippi,No,$16.00 - $17.99
2020,2nd Half,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,15,0,15,0,0,0,Virginia,Yes,$12.00 - $13.99
2020,Exempt,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,0,14,14,0,0,0,Mississippi,No,$12.00 - $13.99
2020,2nd Half,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,20,0,20,0,0,0,Mississippi,Yes,$16.00 - $17.99
2020,Exempt,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Webster,Texas,77598,6297,0,66,66,0,0,0,Texas,No,$14.00 - $15.99
2020,2nd Half,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,30,0,30,0,0,0,Virginia,Yes,$18.00 - $19.99
2020,Exempt,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,0,10,10,0,0,0,Tennessee,No,$12.00 - $13.99
2020,2nd Half,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,35,0,35,0,0,0,Rhode Island,Yes,$20.00 and more
2020,Exempt,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Webster,Texas,77598,6297,0,9,9,0,0,0,Virginia,No,$18.00 - $19.99
2020,1st Half,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,49,"Installation, Maintenance, and Repair Occupations",Lovingston,Virginia,22949,6297,6,0,6,0,0,0,Tennessee,Yes,$12.00 - $13.99
2020,Exempt,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Webster,Texas,77598,6297,0,1,1,0,0,0,Alabama,No,$18.00 - $19.99
2020,Exempt,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,0,15,15,0,0,0,Texas,No,$14.00 - $15.99
2020,2nd Half,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,15,0,15,0,0,0,South Carolina,Yes,$18.00 - $19.99
2020,Exempt,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,6297,0,17,17,0,0,0,Arkansas,No,$14.00 - $15.99
2020,1st Half,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,49,"Installation, Maintenance, and Repair Occupations",Lovingston,Virginia,22949,6297,6,0,6,0,0,0,Texas,Yes,$14.00 - $15.99
2020,Exempt,ABC PROFESSIONAL TREE SERVICES INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Webster,Texas,77598,6297,0,16,16,0,0,0,Arkansas,No,$14.00 - $15.99
2020,2nd Half,ABC ROOFING A TECTA AMERICA CO LLC,23,Construction,47,Construction and Extraction Occupations,Clackamas,Oregon,97015,5555,6,0,6,0,0,0,Oregon,Yes,$14.00 - $15.99
2020,1st Half,ABERDEEN GOLF & COUNTRY CLUB INC,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Boynton Beach,Florida,33472,4698,14,0,14,0,0,0,Florida,Yes,$10.00 - $11.99
2020,1st Half,ABERDEEN GOLF & COUNTRY CLUB INC,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Boynton Beach,Florida,33472,4698,14,0,14,0,0,0,Florida,Yes,$12.00 - $13.99
2020,Exempt,ABERDEEN GOLF & COUNTRY CLUB INC,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Boynton Beach,Florida,33472,4698,0,9,9,0,0,0,Florida,No,$12.00 - $13.99
2020,2nd Half,ABESCAPE LANDSCAPING,54,Professional and Technical Services,37,Building and Grounds Cleaning and Maintenance Occupations,El Paso,Texas,79927,8385,25,0,25,0,0,0,Texas,Yes,$10.00 - $11.99
2020,2nd Half,ABOVE ALL MASONRY DESIGN INC,23,Construction,37,Building and Grounds Cleaning and Maintenance Occupations,Islandia,New York,11749,4920,3,0,3,0,0,0,New York,Yes,$16.00 - $17.99
2020,Exempt,ABR CONSTRUCTION INC,23,Construction,47,Construction and Extraction Occupations,Nicholasville,Kentucky,40356,1502,0,0,0,0,5,5,Kentucky,No,$16.00 - $17.99
2020,2nd Half,AC LANDSCAPING LTD,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Wading River,New York,11792,8189,10,0,10,0,0,0,New York,Yes,$16.00 - $17.99
2020,1st Half,ACADIA CRAWFISH COMPANY LLC,42,Wholesale Trade,53,Transportation and Material Moving Occupations,Crowley,Louisiana,70526,9065,12,0,12,0,0,0,Louisiana,Yes,$9.99 and under
2020,1st Half,ACADIA PROCESSORS LLC,31-33,Manufacturing,53,Transportation and Material Moving Occupations,Crowley,Louisiana,70526,194,100,0,100,0,0,0,Louisiana,Yes,$9.99 and under
2020,2nd Half,ACADIANA LANDSCAPE MATERIALS,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Youngsville,Louisiana,70592,2933,6,0,6,0,0,0,Louisiana,Yes,$10.00 - $11.99
2020,2nd Half,ACCENTS OF NATURE LANDSCAPING INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Wilmington,Delaware,19807,2704,14,0,14,0,0,0,Pennsylvania,Yes,$14.00 - $15.99
2020,1st Half,ACCURATE DRILLING SYSTEMS INC,23,Construction,47,Construction and Extraction Occupations,Labelle,Florida,33935,6452,8,0,8,0,0,0,Florida,Yes,$14.00 - $15.99
2020,2nd Half,ACE IRRIGATION LLC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Marlboro,New Jersey,7746,1500,7,0,7,0,0,0,New Jersey,Yes,$16.00 - $17.99
2020,2nd Half,ACRES MAINTENANCE INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,7197,50,0,50,0,0,0,Illinois,Yes,$12.00 - $13.99
2020,2nd Half,ACRES MAINTENANCE INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,7197,65,0,65,0,0,0,Illinois,Yes,$14.00 - $15.99
2020,1st Half,ACRES WEST EQUESTRIAN CTR INC,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Calabasas,California,91302,3528,1,0,1,0,0,0,California,Yes,$16.00 - $17.99
2020,2nd Half,ACTION PAINTING RESTORATION DBA TH,23,Construction,47,Construction and Extraction Occupations,Lovingston,Virginia,22949,4762,14,0,14,0,0,0,Michigan,Yes,$16.00 - $17.99
2020,2nd Half,ACTION WHITEWATER ADVENTURES CALIF,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Lotus,California,95651,8798,20,0,20,0,0,0,California,Yes,$20.00 and more
2020,Exempt,ACTIVE LANDSCAPING MANAGEMENT,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Claremore,Oklahoma,74019,944,0,14,14,0,0,0,Oklahoma,No,$12.00 - $13.99
2020,Exempt,ADAM MCKINNEY FOOD SERVICES LLC,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Hughes Springs,Texas,75656,7330,4,0,4,0,0,0,Texas,Yes,$9.99 and under
2020,Exempt,ADDISON RESERVE COUNTRY CLUB,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Delray Beach,Florida,33446,8533,0,6,6,0,0,0,Florida,No,$10.00 - $11.99
2020,Exempt,ADDISON RESERVE COUNTRY CLUB,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Delray Beach,Florida,33446,8533,0,20,20,0,0,0,Florida,No,$12.00 - $13.99
2020,1st Half,ADDISON RESERVE COUNTRY CLUB,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Delray Beach,Florida,33446,8533,13,0,13,0,0,0,Florida,Yes,$10.00 - $11.99
2020,1st Half,ADDISON RESERVE COUNTRY CLUB,71,"Arts, Entertainment, and Recreation",35,Food Preparation and Serving Related Occupations,Delray Beach,Florida,33446,8533,39,0,39,0,0,0,Florida,Yes,$12.00 - $13.99
2020,1st Half,ADDISON RESERVE COUNTRY CLUB,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Delray Beach,Florida,33446,8533,6,0,6,0,0,0,Florida,Yes,$12.00 - $13.99
2020,Exempt,ADIRONDACK MTN RESERVE-AUSABLE CLU,72,Accommodation and Food Services,35,Food Preparation and Serving Related Occupations,Keene Valley,New York,12943,1190,0,3,3,0,0,0,New York,No,$12.00 - $13.99
2020,2nd Half,ADIRONDACK NATURAL STONE LLC,21,"Mining, Quarrying, and Oil and Gas Extraction",53,Transportation and Material Moving Occupations,Whitehall,New York,12887,3195,10,0,10,0,0,0,New York,Yes,$12.00 - $13.99
2020,2nd Half,ADLERS LANDSCAPE NURSERY INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Altoona,Pennsylvania,16602,2256,8,0,8,0,0,0,Pennsylvania,Yes,$12.00 - $13.99
2020,2nd Half,ADO HOME IMPROVEMENT,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Westbury,New York,11590,2014,4,0,4,0,0,0,New York,Yes,$16.00 - $17.99
2020,2nd Half,ADVANCED LANDSCAPE & DESIGN INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Lovingston,Virginia,22949,7047,18,0,18,0,0,0,Colorado,Yes,$16.00 - $17.99
2020,2nd Half,ADVANCED LANDSCAPE MGMT LLC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Allen,Texas,75002,6642,16,0,16,0,0,0,Texas,Yes,$12.00 - $13.99
2020,1st Half,ADVANCED ROOFING INC,23,Construction,47,Construction and Extraction Occupations,Fort Lauderdale,Florida,33311,591,0,13,13,0,0,0,Florida,No,$16.00 - $17.99
2020,1st Half,ADVANCED ROOFING INC,23,Construction,47,Construction and Extraction Occupations,Lovingston,Virginia,22949,591,0,7,7,0,0,0,Florida,No,$16.00 - $17.99
2020,Exempt,ADVANCED ROOFING INC,23,Construction,47,Construction and Extraction Occupations,Lovingston,Virginia,22949,591,0,13,13,0,0,0,Florida,No,$16.00 - $17.99
2020,Exempt,ADVANCED TREE & SHRUB CARE INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Fairview,Texas,75069,3944,0,2,2,0,0,0,Texas,No,$12.00 - $13.99
2020,Exempt,ADVANTAGE CORP,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Medina,Ohio,44256,4527,0,10,10,0,0,0,Ohio,No,$14.00 - $15.99
2020,1st Half,ADVANTAGE CORP,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Medina,Ohio,44256,4527,2,0,2,0,0,0,Ohio,Yes,$14.00 - $15.99
2020,Exempt,AEROSCAPE INC DBA AEROSCAPE PROPER,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Midvale,Utah,84047,1124,0,42,42,0,0,0,Utah,No,$14.00 - $15.99
2020,1st Half,AEROSCAPE PARK CITY LLC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Midvale,Utah,84047,1737,43,0,43,0,0,0,Utah,Yes,$14.00 - $15.99
2020,1st Half,AFRIMS SPORTS INC,61,Educational Services,27,"Arts, Design, Entertainment, Sports, and Media Occupations",Albany,New York,12211,2971,2,0,2,0,0,0,New York,Yes,$20.00 and more
2020,2nd Half,AGAVE GARDEN INC,56,Administrative and Waste Services,37,Building and Grounds Cleaning and Maintenance Occupations,Midland,Texas,79708,2133,4,0,4,0,0,0,Texas,Yes,$14.00 - $15.99
2020,2nd Half,AGUADO STONE INC,31-33,Manufacturing,53,Transportation and Material Moving Occupations,Georgetown,Texas,78633,359,24,0,24,0,0,0,Texas,Yes,$12.00 - $13.99
2020,Exempt,AGUILAR BROTHERS INC,11,"Agriculture, Forestry, Fishing and Hunting",45,"Farming, Fishing, and Forestry Occupations",Laguna Vista,Texas,78578,7530,4,0,4,0,0,0,Texas,Yes,$10.00 - $11.99
2020,1st Half,AGUILAR MULTI-SERVICES,71,"Arts, Entertainment, and Recreation",39,Personal Care and Service Occupations,Marshall,Virginia,20115,6367,2,0,2,0,0,0,Virginia,Yes,$14.00 - $15.99
2020,Exempt,AIC INTL INC,N/A,,N/A,,Hagatna,Guam,96932,7583,17,4,21,0,0,0,N/A,Yes,N/A
2020,2nd Half,AJ BRAUER STONE INC,31-33,Manufacturing,47,Construction and Extraction Occupations,Jarrell,Texas,76537,3851,10,0,10,0,0,0,Texas,Yes,$12.00 - $13.99
2020,2nd Half,AJ POOL PLASTERING LLC,23,Construction,47,Construction and Extraction Occupations,Stratford,Connecticut,6615,3039,9,0,9,0,0,0,Connecticut,Yes,$14.00 - $15.99
2020,2nd Half,AJ POOL PLASTERING LLC,23,Construction,49,"Installation, Maintenance, and Repair Occupations",Stratford,Connecticut,6615,3039,6,0,6,0,0,0,Connecticut,Yes,$20.00 and more
